movie_id,rank,title,originalTitle,description,year,votes,rating,runtimeMinutes,ratingCategory,genres
tt4139588,172,Polar,Polar,"A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.",2019,105000,6.3,118,TV-MA,"Action,Thriller"
tt7886848,191,Sadak 2,Sadak 2,"The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.",2020,97000,1.2,133,TV-MA,"Action,Drama"
tt2274648,168,Hellboy,Hellboy,"Caught between the worlds of the supernatural and human, Hellboy battles an ancient sorceress bent on revenge.",2019,106000,5.3,120,R,"Action,Adventure,Fantasy"
tt1088616,166,365 Days,Episode #1.2083,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",2020,106000,3.3,114,TV-MA,Drama
tt7550000,180,Project Power,Project Power,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",2020,102000,6.0,113,R,"Action,Crime,Sci-Fi"
tt8629748,174,Spenser Confidential,Spenser Confidential,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate Hawk to take down criminals.",2020,105000,6.2,111,R,"Action,Comedy,Crime"
tt3513548,173,Richard Jewell,Richard Jewell,"Security guard Richard Jewell is an instant hero after foiling a bomb attack at the 1996 Atlanta Olympics, but his life becomes a nightmare when the FBI leaks to the media that he is a suspect in the case.",2019,105000,7.5,131,R,"Biography,Crime,Drama"
tt7838252,162,K.G.F: Chapter 1,K.G.F: Chapter 1,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the Kolar Gold Fields.",2018,108000,8.2,154,Not Rated,"Action,Crime,Drama"
tt6878306,184,News of the World,News of the World,A Civil War veteran agrees to deliver a girl taken by the Kiowa people years ago to her aunt and uncle against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.,2020,100000,6.8,118,PG-13,"Action,Adventure,Drama"
tt5028340,185,Mary Poppins Returns,Mary Poppins Returns,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",2018,99000,6.7,130,PG,"Adventure,Comedy,Family"
tt1226837,146,Beautiful Boy,Beautiful Boy,"Based on the best-selling pair of memoirs from father and son David and Nic Sheff, Beautiful Boy chronicles the heartbreaking and inspiring experience of survival, relapse and recovery in a family coping with addiction over many years.",2018,121000,7.4,120,R,"Biography,Drama"
tt6924650,178,Midway,Midway,"The story of the Battle of Midway, told by the leaders and the sailors who fought it.",2019,103000,6.7,138,PG-13,"Action,Drama,History"
tt1063345,167,Minari,First Half Final Round: Goldrick vs. Ortega/Kropp vs. Lentz,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.",2020,106000,7.4,115,PG-13,"Action,Game-Show,Sport"
tt8364368,182,Crawl,Crawl,"A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators.",2019,101000,6.1,87,R,"Action,Adventure,Horror"
tt8633478,160,Run,Run,A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,2020,109000,6.7,90,PG-13,"Mystery,Thriller"
tt5774060,169,Underwater,Underwater,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,2020,106000,5.9,95,PG-13,"Action,Horror,Sci-Fi"
tt3799232,181,The Kissing Booth,The Kissing Booth,A high school student is forced to confront her secret crush at a kissing booth.,2018,101000,5.9,105,TV-14,"Comedy,Romance"
tt7456310,171,Anna,Anna,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,2019,105000,6.7,118,R,"Action,Thriller"
tt1413492,187,12 Strong,12 Strong,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",2018,99000,6.5,130,R,"Action,Drama,History"
tt1034415,179,Suspiria,Suspiria,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up.",2018,103000,6.7,152,R,"Drama,Fantasy,Horror"
tt4332232,161,Fractured,Fractured,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.",2019,108000,6.5,99,TV-MA,"Drama,Mystery,Thriller"
tt1146482,197,The Social Dilemma,Mascot Marvellous,Explores the dangerous human impact of social networking; tech experts sound the alarm on their own creations.,2020,93000,7.6,94,PG-13,"Comedy,Family,Short"
