movie_id,rank,title,runtime,year,rating,votes
tt7748244,476,Mortal World,1h 47m,2018,7.6, (34K
tt9691136,477,Shadow in the Cloud,1h 23m,2020,5.0, (34K
tt8130968,478,Badla,1h 58m,2019,7.7, (34K
tt8954732,479,The Princess Switch,1h 41m,2018,6.1, (34K
tt7721800,480,Bharat,2h 30m,2019,4.7, (33K
tt3721964,481,Gringo,1h 51m,2018,6.1, (33K
tt7137380,482,Destroyer,2h 1m,2018,6.2, (33K
tt2762506,483,Bacurau,2h 11m,2019,7.3, (33K
tt9196192,484,Cuties,1h 36m,2020,3.6, (33K
tt7329656,485,47 Meters Down: Uncaged,1h 30m,2019,5.0, (33K
tt9354944,486,Jexi,1h 24m,2019,6.0, (33K
tt5929754,487,Wildlife,1h 45m,2018,6.8, (33K
tt7236034,488,I Want to Eat Your Pancreas,1h 49m,2018,8.1, (33K
tt6288124,489,"Don't Worry, He Won't Get Far on Foot",1h 54m,2018,6.8, (33K
tt1031014,490,Fatman,1h 40m,2020,5.9, (33K
tt6527426,491,Zero,2h 44m,2018,5.2, (33K
tt9072352,492,Relic,1h 29m,2020,6.0, (33K
tt9252468,493,Mosul,1h 41m,2019,7.1, (33K
tt3152592,494,Scoob!,1h 33m,2020,5.6, (32K
tt6116856,495,The Night Comes for Us,2h 1m,2018,6.9, (32K
tt8385474,496,A Dog's Journey,1h 49m,2019,7.4, (32K
tt6587640,497,Trolls World Tour,1h 31m,2020,6.1, (32K
tt2126357,498,Second Act,1h 43m,2018,5.8, (32K
tt3612126,499,The Grudge,1h 34m,2019,4.4, (32K
tt7218518,500,Pad Man,2h 20m,2018,7.8, (32K
